date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:08	31032/31032	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/tutorials/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/tutorials/index.html	(from https://matplotlib.org/stable/)
01:31:09	373027/373027	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/gallery/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/gallery/index.html	(from https://matplotlib.org/stable/)
01:31:09	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:09%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:10	213922/213922	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/index.html	(from https://matplotlib.org/stable/)
01:31:10	47123/47123	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/release_notes.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/release_notes.html	(from https://matplotlib.org/stable/)
01:31:10	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:10%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:11	12764/12764	---M--	200	added ('OK')	image/png	etag:%22d83iumt5jopq9uw%22	https://matplotlib.org/stable/_static/mpl_cheatsheet1.png	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/mpl_cheatsheet1.png	(from https://matplotlib.org/stable/)
01:31:12	198118/198118	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/explain/quick_start.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/explain/quick_start.html	(from https://matplotlib.org/stable/)
01:31:12	69061/69061	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/faq.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/faq.html	(from https://matplotlib.org/stable/)
01:31:12	383481/383481	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/figure_api.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/figure_api.html	(from https://matplotlib.org/stable/)
01:31:13	177181/177181	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/axes_api.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/axes_api.html	(from https://matplotlib.org/stable/)
01:31:13	290519/290519	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figure.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figure.html	(from https://matplotlib.org/stable/)
01:31:14	413005/413005	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplots.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplots.html	(from https://matplotlib.org/stable/)
01:31:14	208834/208834	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:58%20GMT	https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot_mosaic.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot_mosaic.html	(from https://matplotlib.org/stable/)
01:31:14	26627/26627	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/users/resources/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/users/resources/index.html	(from https://matplotlib.org/stable/)
01:31:15	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:15%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:15	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:15%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:15	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:16%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:16	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:16%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:16	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:17%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:17	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2020:01:17%20GMT	https://matplotlib.org/stable/devel/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/devel/index.html	(from https://matplotlib.org/stable/)
01:31:18	23913/23913	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/index.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/index.html	(from https://matplotlib.org/stable/)
01:31:18	23252/23252	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/mission.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/mission.html	(from https://matplotlib.org/stable/)
01:31:18	29814/29814	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/history.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/history.html	(from https://matplotlib.org/stable/)
01:31:19	32461/32461	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/code_of_conduct.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/code_of_conduct.html	(from https://matplotlib.org/stable/)
01:31:19	39833/39833	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/citing.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/citing.html	(from https://matplotlib.org/stable/)
01:31:20	78304/78304	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/license.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/license.html	(from https://matplotlib.org/stable/)
01:31:20	37644/37644	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Feb%202025%2020:47:59%20GMT	https://matplotlib.org/stable/project/credits.html	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/project/credits.html	(from https://matplotlib.org/stable/)
01:31:20	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226807ab82-302c%22	https://matplotlib.org/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/ssl/python_documentaions/matplotlib/matplotlib.org/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://matplotlib.org/stable/)
01:31:21	14685/14685	---MCZ	200	added ('OK')	text/css	etag:W/%22d83iums9zpicbbx%22	https://matplotlib.org/stable/_static/basic.css	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/basic.css	(from https://matplotlib.org/stable/_static/styles/theme.css?digest=dfe6caa3a7d634c4db9b)
01:31:21	209128/209128	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d83iumtj8not4hd4%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-brands-400.ttf	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-brands-400.ttf	(from https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b)
01:31:22	67860/67860	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d83iumtju3ap1gd0%22	https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-regular-400.ttf	C:/ssl/python_documentaions/matplotlib/matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/webfonts/fa-regular-400.ttf	(from https://matplotlib.org/stable/_static/vendor/fontawesome/6.5.2/css/all.min.css?digest=dfe6caa3a7d634c4db9b)
