date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/330px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/330px-Composite_trapezoidal_rule_illustration.8ca.delayed	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:28	42346/42346	---M--	200	added ('OK')	image/png	etag:b9238488bda2e0d84a99e504b395eed6	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/960px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/960px-Composite_trapezoidal_rule_illustration.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:28	13790/13790	---M--	200	added ('OK')	image/png	etag:bee7b6806d3c0c63a5cdc8f857c2e6c9	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/330px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/330px-Composite_trapezoidal_rule_illustration.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1024px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1024px-Composite_trapezoidal_rule_illustration.8cc.delayed	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1280px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1280px-Composite_trapezoidal_rule_illustration.8ce.delayed	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:30	45827/45827	---M--	200	added ('OK')	image/png	etag:b2e03ecbb61a72003617ed4b26795e34	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1024px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1024px-Composite_trapezoidal_rule_illustration.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/40px-Commons-logo.svg.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/40px-Commons-logo.svg.8d0.delayed	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:32	59834/59834	---M--	200	added ('OK')	image/png	etag:4d3fe463ab4aa507180181664a5acc87	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1280px-Composite_trapezoidal_rule_illustration.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/4/42/Composite_trapezoidal_rule_illustration.png/1280px-Composite_trapezoidal_rule_illustration.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:32	2148/2148	---M--	200	added ('OK')	image/png	etag:2a9a398958a6bb77aeaa9e68f37a7433	https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/40px-Commons-logo.svg.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/40px-Commons-logo.svg.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:33	5067/5067	---M--	200	added ('OK')	image/png	etag:349d460e21990291a285aa60e4458d7a	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Gnome-x-office-drawing.svg/70px-Gnome-x-office-drawing.svg.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Gnome-x-office-drawing.svg/70px-Gnome-x-office-drawing.svg.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
10:55:34	4199/4199	---M--	200	added ('OK')	image/png	etag:6decfa7ec164655863f11d0329b3be50	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Composite_trapezoidal_rule_illustration.svg/150px-Composite_trapezoidal_rule_illustration.svg.png	C:/ssl/python_documentaions/numpy_api/upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Composite_trapezoidal_rule_illustration.svg/150px-Composite_trapezoidal_rule_illustration.svg.png	(from https://en.wikipedia.org/wiki/File:Composite_trapezoidal_rule_illustration.png)
